id,title,year,make,model,display_title,description_first_line
32396e4e-cf1c-4c46-bdf2-98b85c250a91,SI-2025-00060,,,,No Vehicle Specified,Vehicle: 2025 Mazda CX-30
4eac747e-657a-429c-8b84-3a6de966a1fa,SI-2025-00100,,,,No Vehicle Specified,Vehicle: 2025 Ford Escape
e4f69790-3179-4f59-8d6e-4d2011fc81ae,SI-2025-00017,,,,No Vehicle Specified,Vehicle: 2025 BMW X5
a7cd2ee8-92f1-4146-88a0-f6489f16f55c,SI-2025-00015,,,,No Vehicle Specified,Vehicle: 2025 lexus RX350
2c48bcb7-f098-460f-bf84-5cd5d0716b74,SI-2025-00025,,,,No Vehicle Specified,Vehicle: 2017 Toyota Prius
46ddfdc7-0ceb-425b-a9ec-c12cd6cd6d02,SI-2025-00011,2024,Nissan,Frontier,2024 Nissan Frontier,Vehicle: 2024 Nissan Frontier
053e4de4-4087-4dbe-a6d4-51ddaa42b121,SI-2025-00022,,,,No Vehicle Specified,Vehicle: 2024 BMW X3
79b6c082-7e3b-4ab4-9343-9c1a12721bb7,SI-2025-00002,2025,BMW,X5,2025 BMW X5,please also look for headiner SI in part of the LKA calibration 
4875ce90-fbe1-46d6-bf0b-e9745a166ddd,SI-2025-00001,2013,Mazda,CX-9,2013 Mazda CX-9,"Good morning, beautiful people. Could someone help me get blind spot si for a 2013 mazda cx 9 please"
b920d5a6-759e-40f9-a98a-76871a001638,SI-2025-00003,2024,Acura,Integra,2024 Acura Integra,test
a1c534fc-6a83-44dc-873c-a908dab2b759,SI-2025-00007,,,,No Vehicle Specified,Vehicle: 2025 Toyota Corolla
aa9df571-779c-4f79-9227-404a9e64bc62,SI-2025-00005,,,,No Vehicle Specified,Vehicle: 2025 Toyota Corolla
b6d16e08-2626-4ce3-b4d6-9a1c5d4acbc8,SI-2025-00005,2012,Honda,Civic,2012 Honda Civic,Tech in search of documentation that states Honda does not allow for airbag component wire splicing or repair of any kind
7febf9ac-60a1-435d-be69-560c8a9df2a9,SI-2025-00006,,,,No Vehicle Specified,Vehicle: 2025 Land Rover range Rover
065d8593-f9a3-427a-897d-e5f13dbb5248,SI-2025-00008,,,,No Vehicle Specified,Vehicle: 2025 Genesis GV70
fc867257-fcb3-469a-bad9-085e24ceb9de,SI-2025-00009,,,,No Vehicle Specified,Vehicle: 2025 chevy traverse
01c9f71e-2b5b-4b14-811a-d1ef259ced7d,SI-2025-00101,,,,No Vehicle Specified,Vehicle: 2025 Audi A3
9831a9f3-b21d-4140-8b38-cd857ec72e2b,SI-2025-00021,,,,No Vehicle Specified,Vehicle: 2025 Lexus NX250
00693c78-67d3-4943-807e-f64288944db8,SI-2025-00018,,,,No Vehicle Specified,Vehicle: 2023 BMW XM
9b6ca4b7-08c4-4d95-94a3-ab85483bd314,SI-2025-00033,,,,No Vehicle Specified,Vehicle: 2025 Toyota Rav4
04e841b4-8938-4466-94cd-25fc4cbb46ae,SI-2025-00032,,,,No Vehicle Specified,Vehicle: 2023 BMW X1
031c5f97-46fb-41f1-b28c-d9c289114c3e,SI-2025-00023,,,,No Vehicle Specified,Vehicle: 2025 Audi Q7
b69d142a-dc98-40ee-85a0-eca84b12360e,SI-2025-00010,,,,No Vehicle Specified,Vehicle: 2024 Toyota Prius
bed66c40-1e98-4b75-8185-a4e9c7764c6a,SI-2025-00013,,,,No Vehicle Specified,Vehicle: 2023 Nissan Maxima
52316f97-a857-43de-81ac-eb8e206c04a4,SI-2025-00024,,,,No Vehicle Specified,Vehicle: 2025 Lexus IS300
d51fdec5-3969-4e28-9120-2be8fe50ee61,SI-2025-00020,,,,No Vehicle Specified,Vehicle: 2022 Land Rover Velar
cc6f089c-004f-4121-81f9-c046175040f7,SI-2025-00035,,,,No Vehicle Specified,Vehicle: 2025 Volks Wagen Jetta
bd515b0d-917a-4807-831a-d22607319995,SI-2025-00041,,,,No Vehicle Specified,Vehicle: 2017 Lexus NX300H
e7adce17-0c90-447f-948d-4b707b3f2f11,SI-2025-00037,,,,No Vehicle Specified,Vehicle: 2025 BMW 330i
33322bc6-ac42-47e2-9e5d-3fbb559e33e7,SI-2025-00038,,,,No Vehicle Specified,Vehicle: 2025 Mini Countryman
b057485c-5c5e-4776-bd3f-bbd3f67105e1,SI-2025-00097,,,,No Vehicle Specified,Vehicle: 2018 Lincoln MKX
59eff2de-df99-4ce7-8fb6-67b4a0701a79,SI-2025-00031,,,,No Vehicle Specified,Vehicle: 2025 Chevy Tahoe
f64f0c66-1267-43c4-bc13-2b4923b9b775,SI-2025-00027,,,,No Vehicle Specified,Vehicle: 2025 Toyota Crown
80a68415-de7d-4c92-8c03-46ecf46ce7a6,SI-2025-00026,,,,No Vehicle Specified,Vehicle: 2025 Mazda CX-50
1e5d6081-7f2c-41d1-9996-f779fa4dce8e,SI-2025-00066,,,,No Vehicle Specified,Vehicle: 2025 Mazda CX-5
d381b177-2176-4ec4-a9e8-9c7fa0a00f07,SI-2025-00033,,,,No Vehicle Specified,Vehicle: 2025 Ford Expediton
d5f6bd9f-8abb-4b63-9dc5-e6dcc3191353,SI-2025-00028,,,,No Vehicle Specified,Vehicle: 2024 Toyota Corolla Cross
19ccf8f7-0b66-4ebd-95a5-885ffc2ec80f,SI-2025-00028,,,,No Vehicle Specified,Vehicle: 2025 Mazda CX-70
b7664599-21ae-431a-a76b-16c8d20abfc2,SI-2025-00034,,,,No Vehicle Specified,Vehicle: 2025 Buick Envision
7ebaa725-5a12-469b-bfb6-0f4215510bda,SI-2025-00030,,,,No Vehicle Specified,Vehicle: 2025 Land Rover range Rover
83eae5d8-2cf3-48af-af43-1f0f99547ab1,SI-2025-00036,,,,No Vehicle Specified,Vehicle: 2025 Audi Q5
5751252b-7248-49c9-a05b-d52db91f8d88,SI-2025-00043,,,,No Vehicle Specified,Vehicle: 2025 Cadillac XT5
a1b0cd30-08a1-49f4-96b5-3ae18c55af66,SI-2025-00038,,,,No Vehicle Specified,Vehicle: 2025 Jeep Grand Cherokee
7a8954fe-7fe4-4ee3-8bdf-be07d76b93b6,SI-2025-00042,,,,No Vehicle Specified,Vehicle: 2021 Chevrolet Tahoe
02766b79-8f9b-4f8e-a14d-9a1c1153a11b,SI-2025-00044,,,,No Vehicle Specified,Vehicle: 2025 Audi Q7
e7629390-803e-42ee-a132-e5d8522cc01d,SI-2025-00045,,,,No Vehicle Specified,Vehicle: 2025 BMW IX
89c144e8-8fc3-478c-aa09-f83485f78fcf,SI-2025-00046,,,,No Vehicle Specified,Vehicle: 2025 Lexus NX350
ff193e93-aeaa-401a-b13e-9e64807a5e46,SI-2025-00059,,,,No Vehicle Specified,Vehicle: 2024 Honda CR-V
097ff078-e303-47f9-b22b-9298102796ea,SI-2025-00019,,,,No Vehicle Specified,Vehicle: 2025 Toyota Tacoma
3371e928-c5a7-4b89-b208-e70251f97927,SI-2025-00057,,,,No Vehicle Specified,Vehicle: 2024 Honda Civic
a9eb639b-9ddd-4cf6-a6c9-ed43bd2c925b,SI-2025-00047,,,,No Vehicle Specified,Vehicle: 2025 Mazda CX-30
05b2ccd4-6eaf-4f3b-8ea6-4b275ff58a8f,SI-2025-00058,,,,No Vehicle Specified,Vehicle: 2023 Honda CR-V Hybrid
bae59afb-8297-4ca6-9813-8eec9342b1b4,SI-2025-00048,,,,No Vehicle Specified,Vehicle: 2025 Chevy Suburban
c50b61ab-85c2-4700-93b9-673302dcc821,SI-2025-00040,,,,No Vehicle Specified,Vehicle: 2017 Lexus NX300H
72a8cac4-7e66-477d-bcd5-a8b2475b9e57,SI-2025-00094,,,,No Vehicle Specified,Vehicle: 2020 Lincoln Corsair
774f0d9a-1831-4988-9d9a-c23476f699a2,SI-2025-00051,,,,No Vehicle Specified,Vehicle: 2025 BMW X1
8a75df85-3598-4260-9d0f-ebef6a8ce110,SI-2025-00055,,,,No Vehicle Specified,Vehicle: 2025 N issan Frontier
23619fcf-c70d-4df5-835d-b16f902f8482,SI-2025-00052,,,,No Vehicle Specified,Vehicle: 2022 BMW X5
11d2cb66-08d6-47f2-a615-013960fedd9e,SI-2025-00054,,,,No Vehicle Specified,Vehicle: 2024 Honda Accord
3ecd7a53-1d23-47c7-8c21-25a3fc2aefe4,SI-2025-00070,,,,No Vehicle Specified,Vehicle: 2022 Mitsubishi Outlander
7273c407-5e14-4093-b1ae-cd8e97574499,SI-2025-00056,,,,No Vehicle Specified,Vehicle: 2023 Honda Civic
34bf4ff5-d299-46d1-b0fc-bdd2387d894c,SI-2025-00080,,,,No Vehicle Specified,Vehicle: 2025 Chevy Trax
1024e672-41be-4cb7-8d1f-a537dc36618d,SI-2025-00095,,,,No Vehicle Specified,Vehicle: 2025 Mitsuboishbishi outlander
ec6fc5be-a766-4f21-a40d-eb2443079bde,SI-2025-00106,,,,No Vehicle Specified,Vehicle: 2023 Ford Escape
973c8eee-b359-45cd-b522-8654b97b3b15,SI-2025-00114,,,,No Vehicle Specified,Vehicle: 2025 BMW X3
fccf77e6-97a9-4e94-bf4b-6a5a3713e6ec,SI-2025-00108,,,,No Vehicle Specified,Vehicle: 2025 Buick Envista
d50d0798-d8e8-4677-88a5-e80260f37065,SI-2025-00114,,,,No Vehicle Specified,Vehicle: 2023 Ford Maverick
4897057a-d774-4316-9642-dab9c910d3f1,SI-2025-00098,,,,No Vehicle Specified,Vehicle: 2024 Ford Bronco Sport
b22d0696-4ac3-472a-805f-b6aeed36588a,SI-2025-00125,,,,No Vehicle Specified,Vehicle: 2017 Ford E-350
60b30bd0-19a4-4444-97eb-d2467ee83081,SI-2025-00124,,,,No Vehicle Specified,Vehicle: 2019 Ford E-350
f3365c06-da43-4d6d-a739-1bc62f2aa4ac,SI-2025-00128,,,,No Vehicle Specified,Vehicle: 2024 BMW X1
50d48619-537f-4fdb-b672-c36178628b27,SI-2025-00119,,,,No Vehicle Specified,Vehicle: 2025 BMW X5
3047adec-20ba-4219-9708-12f22798a5f2,SI-2025-00118,,,,No Vehicle Specified,Vehicle: 2013 Ford E-150
355c22d2-9ede-4b8d-ace8-f12a2b4016e5,SI-2025-00069,,,,No Vehicle Specified,Vehicle: 2024 Mitsubishi Outlander Sport
f71e1df8-e4b3-43e6-bf44-c4b8477222e5,SI-2025-00129,,,,No Vehicle Specified,Vehicle: 2025 BMW IX50
f58c11fa-1b9f-49e8-9276-0afaf55fd9aa,SI-2025-00130,,,,No Vehicle Specified,Vehicle: 2024 BMW X1
da80a0ea-1a0e-43b3-9701-0266a6a30d12,SI-2025-00112,,,,No Vehicle Specified,Vehicle: 2022 Ford Edge
0c47a2ef-8be9-4ec7-b34a-a29d8043a1bb,SI-2025-00063,,,,No Vehicle Specified,Vehicle: 2025 Audi A3
e4803934-345e-4906-9108-82a4a2fa7563,SI-2025-00062,,,,No Vehicle Specified,Vehicle: 2025 Audi A3
b8d424d2-c563-416c-b5ad-fd0f457b3a03,SI-2025-00064,,,,No Vehicle Specified,Vehicle: 2025 Toyota Highlander
79b768f8-c6c5-422f-91d8-a779a5a9f2f5,SI-2025-00098,,,,No Vehicle Specified,Vehicle: 2025 Lincoln Corsair
3e03599e-22ef-4df6-b5ae-f12a3b2555fb,SI-2025-00107,,,,No Vehicle Specified,Vehicle: 2024 BMW X1
03b07873-e2e6-419c-84a7-18f8e976ab3f,SI-2025-00106,,,,No Vehicle Specified,Vehicle: 2024 BMW X6
1ee26d7f-e0ad-40c7-837e-676d6f79e907,SI-2025-00116,,,,No Vehicle Specified,Vehicle: 2024 Ford Mustang
9256a39b-2e61-4273-8028-810a4cb04caf,SI-2025-00113,,,,No Vehicle Specified,Vehicle: 2017 Ford Explorer
6da9d90b-0989-41bf-a434-0ad601f1422e,SI-2025-00127,,,,No Vehicle Specified,Vehicle: 2015 Ford E-350
bbe4b902-88db-46fc-86b3-3399c55610e0,SI-2025-00121,,,,No Vehicle Specified,Vehicle: 2015 Ford E-350
af6803e0-13a0-4619-8f85-3597c63fe53d,SI-2025-00126,,,,No Vehicle Specified,Vehicle: 2016 Ford E-350
ccb5045e-b224-4ca6-a5a0-4b968d442774,SI-2025-00111,,,,No Vehicle Specified,Vehicle: 2021 Ford Edge
e9c8fef5-2805-4883-affd-24a178f0e7ed,SI-2025-00122,,,,No Vehicle Specified,Vehicle: 2021 Ford E-350
09cd372f-3242-4515-a6c4-86c8e95825f4,SI-2025-00117,,,,No Vehicle Specified,Vehicle: 2013 Kia Sportage
df19c7e4-913b-4678-b705-912efa9a346d,SI-2025-00103,,,,No Vehicle Specified,Vehicle: 2023 Ford E-350
951fadea-1251-4001-8e90-d8a06f29a61c,SI-2025-00105,,,,No Vehicle Specified,Vehicle: 2020 Ford Edge
3c19e507-0b9b-4b99-8eed-bed30488a2bb,SI-2025-00118,,,,No Vehicle Specified,Vehicle: 2025 BMW X5
d6ca3adf-386c-4ec3-ba7a-d0fa9b4f36ed,SI-2025-00061,,,,No Vehicle Specified,Vehicle: 2025 Chevy Equinox
dbcfdf03-4c24-4dfc-b4eb-e824f5fe17d0,SI-2025-00079,,,,No Vehicle Specified,Vehicle: 2025 BMW M240i
382e4967-21f6-4c8d-931b-b701ca9bff8a,SI-2025-00071,,,,No Vehicle Specified,Vehicle: 2015 Infiniti Q60
ee742349-cb54-425e-a9f1-6e6a4d5ed3d7,SI-2025-00104,,,,No Vehicle Specified,Vehicle: 2022 Ford EcoSport
5b34b1b2-f230-4ef2-bbdc-1395bb7b53b9,SI-2025-00073,,,,No Vehicle Specified,Vehicle: 2025 Chevy Silverado 1500
e4cb2085-e1ff-4435-a9ec-340b3dbce069,SI-2025-00078,,,,No Vehicle Specified,Vehicle: 2024 Hyundai Kona Electric
3cb7cf65-a1d3-4c81-841c-2717ac155243,SI-2025-00014,,,,No Vehicle Specified,Vehicle: 2023 Nissan Z
4f96c712-6c05-4884-89f4-90543ed83f6a,SI-2025-00081,,,,No Vehicle Specified,Vehicle: 2025 Lexus GX550
e10ddbc2-2f48-443c-af1d-bb4e538711e5,SI-2025-00050,,,,No Vehicle Specified,Vehicle: 2024 Mazda CX-30
0d9b1f11-bad9-41f1-abc6-5c3672621b69,SI-2025-00049,,,,No Vehicle Specified,Vehicle: 2022 Land Rover Velar
28716e1b-32b9-408a-a3bc-52f353c3e4de,SI-2025-00083,,,,No Vehicle Specified,Vehicle: 2025 chrysler pacifica
ffe77f8c-0faf-4ff9-b25b-9c62e1e7bde7,SI-2025-00084,,,,No Vehicle Specified,Vehicle: 2025 Infiniti QX80
9d165934-47aa-439e-b427-ca278813048b,SI-2025-00072,,,,No Vehicle Specified,Vehicle: 2023 Nissan Altima
e2803f12-a1ba-44a5-8045-d80c6a1be4b7,SI-2025-00077,,,,No Vehicle Specified,Vehicle: 2024 Nissan Frontier
eb8f5978-8883-432a-b328-b231d4faab3f,SI-2025-00075,,,,No Vehicle Specified,Vehicle: 2024 Nissan Armada
810407ce-dba4-4679-97da-5050d07fd670,SI-2025-00073,,,,No Vehicle Specified,Vehicle: 2024 Nissan Ariya
0cc664fa-fbc0-43f5-9524-bae0e898a93f,SI-2025-00082,,,,No Vehicle Specified,Vehicle: 2024 Chevrolet Trax
833af14a-4b58-4272-a965-264041ededdf,SI-2025-00094,,,,No Vehicle Specified,Vehicle: 2025 BMW 3 Series
1ba39824-5d33-4025-9654-927fddde1081,SI-2025-00085,,,,No Vehicle Specified,Vehicle: 2025 Jeep Compass
d228c8f2-8aaf-4e8e-a44f-5ca3b3ef95c7,SI-2025-00076,,,,No Vehicle Specified,Vehicle: 2024 Nissan Frontier
718a8d3c-b80d-492b-b353-36ff2d511df0,SI-2025-00012,,,,No Vehicle Specified,Vehicle: 2024 Nissan Murano
4746b90e-d994-4bd3-9b92-9a11592e33bc,SI-2025-00087,,,,No Vehicle Specified,Vehicle: 2025 Audi A3
09718440-bfdb-42de-bcc4-72526efdf2de,SI-2025-00099,,,,No Vehicle Specified,Vehicle: 2025 GMC 1500
213b46a4-fd6c-463e-906f-199c7ca8cfb0,SI-2025-00089,,,,No Vehicle Specified,Vehicle: 2025 Porsche Macan Electric
3fc393ac-61c6-4b03-a1c1-7c3ab92e5d62,SI-2025-00088,,,,No Vehicle Specified,Vehicle: 2025 BMW M430i
b68f0dc4-25f9-4df6-ad0d-40498c62a669,SI-2025-00050,,,,No Vehicle Specified,Vehicle: 2025 Ford Expediton
1d5a5421-714d-439c-a2ed-d4ecd1e3d631,SI-2025-00090,,,,No Vehicle Specified,Vehicle: 2019 Audi RS3
9099f779-825c-4151-893b-c031916b4615,SI-2025-00091,,,,No Vehicle Specified,Vehicle: 2024 Mitsubishi Outlander
fac50549-bf6e-414c-bb8f-6b274221b346,SI-2025-00092,,,,No Vehicle Specified,Vehicle: 2024 Toyota Highlander
dd278930-bdf4-46ae-9460-d72465a28f93,SI-2025-00086,,,,No Vehicle Specified,Vehicle: 2024 BMW IX
b47251d0-47cd-42e7-89ed-7c3cc65bd79d,SI-2025-00093,,,,No Vehicle Specified,Vehicle: 2024 Ford Explorer
95994f0f-74bf-4c0c-b86f-1bcff5d8e61c,SI-2025-00131,,,,No Vehicle Specified,Vehicle: 2025 Lincoln Aviator
a5ae419a-a7ef-40e2-918a-c01da62e6dd7,SI-2025-00133,,,,No Vehicle Specified,Vehicle: 2023 Mitsubishi Mirage
cbae420d-b4f0-4bbd-b3b7-16936eb94ef4,SI-2025-00132,,,,No Vehicle Specified,Vehicle: 2022 Mitsubishi Mirage
1df13423-4007-4f93-9eba-041acdcb45b4,SI-2025-00135,,,,No Vehicle Specified,Vehicle: 2025 Ford Escape
019d9c75-08b6-4b93-bc88-463f684cfbf1,SI-2025-00120,,,,No Vehicle Specified,Vehicle: 2013 Ford E-350
8d8e2ee0-9443-4831-be31-aeba72b29bf3,SI-2025-00109,,,,No Vehicle Specified,Vehicle: 2025 Ford Escape
36e4fe07-5d58-4bec-8220-425eeca8ae9d,SI-2025-00136,,,,No Vehicle Specified,Vehicle: 2025 Ford Escape
69d94d1b-95fa-4090-b273-5a0605148710,SI-2025-00063,,,,No Vehicle Specified,Vehicle: 2023 Mitsubishi Outlander
2cbbb78a-0346-472b-9324-c6fa2a0d3771,SI-2025-00064,,,,No Vehicle Specified,Vehicle: 2024 Mitsubishi Outlander
25631d2a-ce8c-457b-9db0-78d9918bea0f,SI-2025-00068,,,,No Vehicle Specified,Vehicle: 2024 Mitsubishi Outlander PHEV
d8b115a9-0deb-4ba5-961f-45683baf2012,SI-2025-00138,,,,No Vehicle Specified,Vehicle: 2021 Alfa Romeo Stelvio
00090995-b6da-459d-ad1e-54f72eda8023,SI-2025-00134,,,,No Vehicle Specified,Vehicle: 2012 Ford E-350
4eb61712-a28f-40c0-ab67-956d05ef5abc,SI-2025-00139,,,,No Vehicle Specified,Vehicle: 2023 BMW X2
4e82d017-29df-4d99-a778-8503553f63c1,SI-2025-00134,,,,No Vehicle Specified,Vehicle: 2024 BMW X5
9ded5148-4f21-47b7-ac34-19893f0046ce,SI-2025-00140,,,,No Vehicle Specified,Vehicle: 2025 GMC Yukon
72010975-c1c1-4f32-ad26-c33d624bd6b1,SI-2025-00141,,,,No Vehicle Specified,Vehicle: 2024 Nissan Kicks
70db913d-01c0-4795-af1e-1c3ff5864da5,SI-2025-00143,,,,No Vehicle Specified,Vehicle: 2023 Mini Cooper
d066e5ee-c037-41ee-81dd-47d4a9a5c1fc,SI-2025-00144,,,,No Vehicle Specified,Vehicle: 2024 Nissan Pathfinder
348bdd19-ad67-48da-8eed-8258de6d6c5c,SI-2025-00142,,,,No Vehicle Specified,Vehicle: 2025 Ford Escape
